"区市町村
コード",区市町村,施設名,所在地住所,緯度,経度,洪水,崖崩れ、土石流及び地滑り,高潮,地震,津波,大規模な火事,内水氾濫,火山現象,その他,"エレベーター有/
避難スペースが１階",スロープ等,点字ブロック,車椅子使用者対応トイレ,"その他
（具体的に）"
130001,東京都,東京工業大学,目黒区大岡山、緑ヶ丘、大田区石川町、北千束,35.605894,139.68286,,,,,,1,,,,,,,,
130001,東京都,駒沢オリンピック公園一帯,目黒区東が丘、八雲、世田谷区駒沢、駒沢公園、深沢,35.625508,139.661395,,,,,,1,,,,,,,,
130001,東京都,恵比寿ガーデンプレイス,目黒区三田、渋谷区恵比寿,35.642023,139.714262,,,,,,1,,,,,,,,
130001,東京都,駒場地区,目黒区駒場、大橋、世田谷区池尻,35.656225,139.688141,,,,,,1,,,,,,,,
130001,東京都,平和島地区,大田区大森東、平和島、平和の森公園,35.582202,139.74606,,,,,,1,,,,,,,,
130001,東京都,昭和島野球場一帯,大田区昭和島,35.570786,139.747504,,,,,,1,,,,,,,,
130001,東京都,森ヶ崎公園,大田区大森南,35.563619,139.750319,,,,,,1,,,,,,,,
130001,東京都,東京国際空港天空橋周辺,大田区羽田空港,35.549545,139.75694,,,,,,1,,,,,,,,
130001,東京都,萩中公園,大田区萩中、本羽田,35.549954,139.737839,,,,,,1,,,,,,,,
130001,東京都,旧蒲田電車区周辺一帯,大田区蒲田本町、新蒲田、西六郷、仲六郷,35.558007,139.712856,,,,,,1,,,,,,,,
130001,東京都,池上本門寺一帯,大田区池上,35.576375,139.706625,,,,,,1,,,,,,,,
130001,東京都,多摩川河川敷・ガス橋一帯,大田区鵜の木、下丸子、多摩川、田園調布本町、田園調布南、矢口,35.574845,139.674528,,,,,,1,,,,,,,,
130001,東京都,多摩川河川敷・田園調布先一帯,大田区田園調布、世田谷区上野毛、玉堤、野毛,35.605325,139.634677,,,,,,1,,,,,,,,
130001,東京都,洗足池公園一帯,大田区南千束,35.602287,139.691647,,,,,,1,,,,,,,,
131121,世田谷区,砧南中学校,世田谷区鎌田3-13-20,35.62145,139.613673,1,,,,,,,,,,,,○,
131121,世田谷区,宮坂区民センター,世田谷区宮坂1-24-6,35.647947,139.64476,1,1,,,,,1,,,○,○,○,○,誘導鈴・自動ドア・オストメイト設備・授乳室・おむつ交換台
131121,世田谷区,池之上青少年会館,世田谷区代沢2-37-18,35.659349,139.673361,,1,,,,,,,,○,○,○,○,オストメイト設備
131121,世田谷区,成城さくら児童館,世田谷区成城3-18-23,35.634124,139.597605,,1,,,,,,,,,,,○,
131121,世田谷区,瀬田地区会館,世田谷区瀬田4-18-11,35.62141,139.627342,,1,,,,,,,,○,,,,
131121,世田谷区,尾山台地区会館,世田谷区等-力2-17-14,35.605684,139.652563,,1,,,,,,,,○,,,,
131121,世田谷区,上野毛地区会館,世田谷区中町2-33-11,35.611467,139.640931,,1,,,,,,,,○,,,○,
131121,世田谷区,池尻区民集会所,世田谷区池尻3-27-21,35.650093,139.678684,1,1,,,,,1,,,○,○,○,○,
131121,世田谷区,経堂地区会館,世田谷区経堂3-37-13,35.652044,139.63218,1,,,,,,1,,,○,○,,○,誘導鈴・自動ドア・オストメイト設備・おむつ交換台
131121,世田谷区,下馬地区会館,世田谷区下馬4-13-4,35.636136,139.678933,1,,,,,,1,,,○,○,,○,誘導鈴・自動ドア・オストメイト設備・おむつ交換台
131121,世田谷区,上馬地区会館,世田谷区上馬4-10-17,35.635299,139.662542,1,,,,,,1,,,○,○,○,○,誘導鈴・自動ドア・オストメイト設備・授乳室・おむつ交換台
131121,世田谷区,北沢タウンホール,世田谷区北沢2-8-18,35.662234,139.669691,1,,,,,,1,,,○,○,○,○,授乳室・オストメイト設備・ベビーベッド
131121,世田谷区,松沢区民集会所,世田谷区赤堤5-31-5,35.665738,139.638358,1,,,,,,1,,,○,○,○,○,オストメイト設備
131121,世田谷区,玉川区民会館,世田谷区等-力3-4-1,35.605972,139.652575,1,,,,,,,,,○,,,○,
131121,世田谷区,都立園芸高校,世田谷区深沢5-38-1,35.619086,139.648587,1,,,,,,,,,,,,,
131121,世田谷区,東京都市大学等々力キャンパス,世田谷区等-力8-9-18,35.613824,139.651053,1,,,,,,,,,,,,,
131121,世田谷区,祖師谷小学校,世田谷区祖師谷3-49-1,35.646044,139.604631,1,,,,,,,,,○,○,,,
131121,世田谷区,千歳小学校,世田谷区成城9-6-1,35.651864,139.59792,1,,,,,,,,,○,○,,○,オストメイト設備
131121,世田谷区,希望丘複合施設（区民集会所）,世田谷区船橋6-25-1,35.659484,139.620832,1,,,,,,,,,○,○,○,○,オストメイト設備
131121,世田谷区,山野小学校,世田谷区砧6-7-1,35.643609,139.613305,1,,,,,,,,,○,,,○,
131121,世田谷区,区立大蔵第二運動場体育館,世田谷区大蔵4-7-1,35.631555,139.614944,1,,,,,,,,,○,,○,○,
131121,世田谷区,上北沢区民センター,世田谷区上北沢3-8-9,35.6676,139.625504,1,,,,,,1,,,○,,○,○,自動ドア・オストメイト対応トイレ・ベビーシート付トイレ
131121,世田谷区,上祖師谷地区会館,世田谷区上祖師谷4-5-6,35.65363,139.596605,1,,,,,,1,,,○,○,○,○,オストメイト対応トイレ・ベビーベッド・シートあり
131121,世田谷区,烏山区民センター,世田谷区南烏山6-2-19,35.668885,139.600615,1,,,,,,1,,,○,,○,○,自動ドア・オストメイト対応トイレ・乳幼児用おむつ交換台付きトイレ・大型ベッド付きトイレ
130001,東京都,日本大学文理学部一帯,世田谷区桜上水,35.663591,139.633319,,,,,,1,,,,,,,,
130001,東京都,羽根木公園一帯,世田谷区代田、松原,35.658095,139.65432,,,,,,1,,,,,,,,
130001,東京都,昭和女子大学一帯,世田谷区下馬、太子堂,35.643536,139.677175,,,,,,1,,,,,,,,
130001,東京都,都立園芸高校,世田谷区深沢,35.618583,139.64771,,,,,,1,,,,,,,,
130001,東京都,砧公園・大蔵運動公園一帯,世田谷区大蔵、砧公園,35.629673,139.612748,,,,,,1,,,,,,,,
130001,東京都,馬事公苑・東京農業大学一帯,世田谷区上用賀、桜、桜台,35.638378,139.632344,,,,,,1,,,,,,,,
130001,東京都,祖師谷公園・総合工科高校一帯,世田谷区上祖師谷、成城,35.651328,139.595024,,,,,,1,,,,,,,,
130001,東京都,第一生命グランド一帯,世田谷区上祖師谷、給田,35.662175,139.594521,,,,,,1,,,,,,,,
130001,東京都,芦花公園・明大八幡山グランド一帯,世田谷区粕谷、八幡山、船橋,35.662482,139.617189,,,,,,1,,,,,,,,
130001,東京都,玉川野毛町公園一帯,世田谷区野毛,35.604902,139.64295,,,,,,1,,,,,,,,
130001,東京都,成城学園一帯,世田谷区成城,35.643486,139.60113,,,,,,1,,,,,,,,
130001,東京都,国士舘大学一帯,世田谷区梅丘、世田谷、若林,35.647892,139.653404,,,,,,1,,,,,,,,
130001,東京都,きたみふれあい広場一帯,世田谷区喜多見,35.63833,139.588666,,,,,,1,,,,,,,,
130001,東京都,学芸大学附属高校一帯,世田谷区下馬,35.634277,139.67729,,,,,,1,,,,,,,,
130001,東京都,烏山北住宅・日本女子体育大学一帯,世田谷区北烏山,35.676369,139.589017,,,,,,1,,,,,,,,
130001,東京都,多摩川河川敷・二子橋一帯,世田谷区宇奈根、鎌田、喜多見、玉川,35.614524,139.619971,,,,,,1,,,,,,,,
130001,東京都,東京学芸大学附属世田谷小・中学校一帯,世田谷区深沢,35.620148,139.65842,,,,,,1,,,,,,,,
130001,東京都,太子堂円泉ヶ丘公園・三宿の森緑地一帯,世田谷区三宿、太子堂,35.651114,139.673404,,,,,,1,,,,,,,,
131121,世田谷区,明正小学校,世田谷区成城3-3-1,35.635356,139.599266,1,,,,,,,,,○,○,,○,
131121,世田谷区,砧小学校,世田谷区喜多見6-9-1,35.631746,139.60543,1,,,,,,,,,,,,○,
131121,世田谷区,砧中学校,世田谷区成城1-10-1,35.633632,139.601264,1,,,,,,,,,,,,○,
131121,世田谷区,瀬田小学校,世田谷区瀬田2-15-1,35.618509,139.6319,1,1,,,,,,,,,,,○,
131121,世田谷区,瀬田中学校,世田谷区瀬田2-17-1,35.61837,139.633414,1,1,,,,,,,,,,,,
131121,世田谷区,中町小学校,世田谷区中町4-23-1,35.617326,139.642777,1,,,,,,,,,○,○,,,
131121,世田谷区,玉川小学校,世田谷区中町2-29-1,35.610855,139.643411,1,1,,,,,,,,,,,,
131121,世田谷区,玉川中学校,世田谷区中町4-21-1,35.616765,139.643499,1,,,,,,,,,○,○,,○,オストメイト設備
131121,世田谷区,尾山台小学校,世田谷区尾山台3-11-1,35.604599,139.654257,1,1,,,,,,,,,,,○,
131121,世田谷区,尾山台中学校,世田谷区尾山台3-27-23,35.605897,139.655953,1,,,,,,,,,,,,,
131121,世田谷区,八幡小学校,世田谷区玉川田園調布2-17-15,35.602783,139.666897,1,,,,,,,,,,,,,
131121,世田谷区,九品仏小学校,世田谷区奥沢8-12-1,35.603266,139.660056,1,,,,,,,,,,,,○,
131121,世田谷区,区立総合運動場体育館,世田谷区大蔵4-6-1,35.630429,139.612363,1,,,,,,,,,○,,○,,車椅子使用者対応トイレ
131121,世田谷区,聖ドミニコ学園,世田谷区岡本1-10-1,35.62457,139.620498,1,,,,,,,,,,,,,
131121,世田谷区,鎌田区民集会所,世田谷区鎌田2-1-24,35.617018,139.613316,1,,,,,,,,,,,,,
131121,世田谷区,駒澤大学玉川校舎,世田谷区宇奈根1-1-1,35.617909,139.608547,1,,,,,,,,,○,○,,○,
131121,世田谷区,ゆうぽうと世田谷レクセンター,世田谷区鎌田2-17-1,35.619667,139.61048,1,,,,,,,,,,,,,
131121,世田谷区,氷川神社,世田谷区大蔵6-6-7,35.625075,139.611519,1,,,,,,,,,,,,,
131121,世田谷区,砧総合支所,世田谷区成城6-2-1,35.641253,139.600655,1,1,,,,,,,,○,,○,○,オストメイト設備
131121,世田谷区,喜多見地区会館,世田谷区喜多見8-23-23,35.637084,139.589768,,1,,,,,,,,○,,,,オストメイト設備
131121,世田谷区,岡本地区会館,世田谷区岡本1-25-4,35.625051,139.61951,,1,,,,,,,,○,,,○,オストメイト設備・車椅子使用者対応トイレ
131121,世田谷区,大蔵地区会館,世田谷区砧3-5-6,35.634869,139.610847,,1,,,,,,,,,,,○,オストメイト設備・車椅子使用者対応トイレ
130001,東京都,哲学堂公園一帯,新宿区西落合、中井、中落合、中野区上高田、松が丘,35.722633,139.674311,,,,,,1,,,,,,,,
130001,東京都,江古田の森公園一帯,中野区江古田,35.729228,139.665812,,,,,,1,,,,,,,,
130001,東京都,公社鷺宮西住宅一帯,中野区白鷺,35.721159,139.633627,,,,,,1,,,,,,,,
130001,東京都,平和の森公園一帯,中野区新井,35.716273,139.661963,,,,,,1,,,,,,,,
130001,東京都,東京大学附属中等教育学校一帯,中野区南台,35.685325,139.673807,,,,,,1,,,,,,,,
130001,東京都,都立武蔵丘高校一帯,中野区上鷺宮,35.727838,139.630035,,,,,,1,,,,,,,,
130001,東京都,白鷺一丁目地区,中野区白鷺、若宮,35.719798,139.639854,,,,,,1,,,,,,,,
130001,東京都,本五ふれあい公園一帯,中野区本町、弥生町,35.692033,139.669757,,,,,,1,,,,,,,,
131156,杉並区,久我山会館,杉並区久我山3-23-20,35.686586,139.599613,1,1,,,,,1,,,,○,,○,
131156,杉並区,杉並第一小学校,杉並区阿佐谷北1-5-27,35.706407,139.636849,1,1,,1,,1,1,,,,,,○,
131156,杉並区,杉並第二小学校,杉並区成田西3-4-1,35.693072,139.631841,1,1,,1,,1,1,,,,○,,○,
131156,杉並区,杉並第七小学校,杉並区阿佐谷南3-19-2,35.702702,139.63098,,,,1,,1,,,,,○,,○,
131156,杉並区,西田小学校,杉並区荻窪1-38-15,35.694691,139.622084,,,,1,,1,,,,,,,○,
131156,杉並区,東田小学校,杉並区成田東1-21-1,35.691522,139.638749,1,1,,1,,1,1,,,,,,○,
131156,杉並区,馬橋小学校,杉並区高円寺北4-28-5,35.708735,139.643231,,,,1,,1,,,,,,,○,
131156,杉並区,高円寺学園,杉並区高円寺北1-4-11,35.706754,139.655114,,,,1,,1,,,,○,○,○,○,
131156,杉並区,杉森中学校,杉並区阿佐谷北5-45-24,35.711887,139.641274,,,,1,,1,,,,○,○,,○,
131156,杉並区,阿佐ヶ谷中学校,杉並区阿佐谷南1-17-3,35.700507,139.636344,1,1,,1,,1,1,,,○,○,,○,
131156,杉並区,東田中学校,杉並区成田東3-19-17,35.694314,139.63491,,,,1,,1,,,,,○,,○,
131156,杉並区,松溪中学校,杉並区荻窪2-3-1,35.695905,139.621987,,,,1,,1,,,,○,○,○,○,
131156,杉並区,桃井第一小学校,杉並区桃井2-6-1,35.712053,139.609067,,,,1,,1,,,,,○,,○,
